,name,avg_viewers,time_streamed,all_time_peak_viewers,hours_watched,rank,follower_gained,total_followers,total_views
1530,KAPACINO,75,64.7,585,4800.0,29546,51.0,4700.0,--
1531,PIPASLERAT,51,137.1,123,7000.0,29582,40.0,1800.0,--
1532,GEKID00,120,6.1,3531,726.0,29588,47.0,10500.0,--
1533,VOUSAVEZLEDROIT,94,32.3,747,3100.0,29593,309.0,10800.0,--
1534,MARTINMARTIN_M2X,80,54.4,3120,4400.0,29599,118.0,15300.0,--
1535,TEOBOOY,74,66.1,4162,4900.0,29604,1100.0,29000.0,--
1536,CLEM_MLRT,54,124.3,501,6700.0,29636,229.0,2000.0,--
1537,COCOLOUNA,60,102.7,391,6200.0,29641,299.0,30800.0,--
1538,GHOSTNTN_,111,13.8,770,1500.0,29679,27.0,116,--
1539,BYSANDS,70,74.6,4676,5200.0,29691,73.0,1100.0,--
1540,FRANCEDOGGYSLOTBONUS,115,9.4,212,1100.0,29695,0.0,--,--
1541,SENSE7_GAMING,81,51.6,155,4200.0,29696,1300.0,18900.0,--
1542,K17FORY,98,27.0,157,2600.0,29699,39.0,86,--
1543,AGEDTURTLES,44,172.1,394,7500.0,29712,25.0,4600.0,--
1544,NICOLAS_TASSONE,94,32.0,195,3000.0,29728,144.0,862,--
1545,RESERVOIRLIVE,38,212.5,735,8100.0,29731,43.0,6200.0,--
1546,RAVER,78,57.0,740,4500.0,29745,0.0,8000.0,--
1547,ZYK0O_,95,30.0,1243,2800.0,29841,87.0,2500.0,--
1548,OURSON65,57,111.7,89,6300.0,29880,14.0,1100.0,--
1549,NAAZOX_,19,508.6,207,9800.0,29904,4000.0,16800.0,--
1550,HYUGASA25,87,41.1,347,3600.0,29905,581.0,3200.0,--
1551,YOPY_OFF,81,51.6,1960,4200.0,29909,440.0,616,--
1552,ORXANE,72,68.7,175,4900.0,29915,938.0,8600.0,--
1553,SAYAKIE_TV,100,23.6,108,2400.0,29952,2700.0,2700.0,--
1554,ONESIMEE,66,82.4,2900,5400.0,30040,59.0,7600.0,--
1555,ROTOGLUON,14,712.1,285,10200.0,30054,21.0,4200.0,--
1556,IKEBI,54,118.9,5110,6500.0,30071,157.0,58100.0,1340000.0
1557,KAMILLE92,74,62.8,343,4700.0,30084,210.0,1900.0,--
1558,SHARKYSRK,65,83.3,854,5500.0,30102,1400.0,26400.0,--
1559,SARGELECHEF,102,20.8,1540,2100.0,30141,98.0,6800.0,--
1560,LYNKA,53,123.1,1282,6500.0,30166,6.0,10100.0,--
